label,status,time_real,time_user,time_sys
initiator_unbound_manual,PASSED,215.20,214.14,1.03
responder_unbound_out_id_manual,ATTACK,,,
responder_unbound_no_out_id_manual,PASSED,137.58,136.38,0.83
initiator_2_peers_manual,PASSED,19.23,18.86,0.16
responder_2_peers_manual,PASSED,26.48,26.08,0.17
responder_2_peers_manual,PASSED,22.73,22.32,0.15
responder_2_peers_manual,PASSED,22.71,22.39,0.12
initiator_unbound_private_channel,PASSED,3.18,2.59,0.08
responder_unbound_private_channel_out_id,PASSED,3.08,2.73,0.10
initiator_2_peers_private_channel,PASSED,1.14,0.94,0.00
responder_2_peers_private_channel,PASSED,1.10,0.90,0.02
responder_2_peers_manual_idR_out,PASSED,20.16,19.83,0.18
